"626-FOIE DE POULET","","","","","","2-VIANDE BLANCHE","","","4","","1.835","","100.94",""
"800-TIHANE","","","","","","1-VIANDE ROUGE","","","1","","0.105","","11.55",""
"801-TIHANE VARIE","","","","","","1-VIANDE ROUGE","","","12","","3.005","","387.68",""
"900-TOMATE","","","","","","4-LEGUME","","","7","","31.455","","0",""
"902-ABERGINE DENJAL","","","","","","4-LEGUME","","","1","","4.99","","0",""
"903-SALADE","","","","","","4-LEGUME","","","2","","0.002","","0",""
"904-POIVRON FELFLA","","","","","","4-LEGUME","","","2","","9.205","","0",""
"","","","","","","","","","","","","","",""
"58","","","","","","","","","915","","666.06","","62297.29",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"[Date Printed]","","","","","","","","","","","","[Page # of Pages #]","",""
