Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48524;26/07/2024;601;FILET DE POULET NATURE;
48525;26/07/2024;70227;SANDWICH VIANDE HACHEE;
48525;26/07/2024;CODE_COMM;--> ktr sauce;
48526;26/07/2024;3589;TACOS SAUCISSE;
48526;26/07/2024;3589;TACOS SAUCISSE;
48526;26/07/2024;2376;--> TACOS;
48526;26/07/2024;10000;--> BIGGY;
48526;26/07/2024;1174;TACOS MIXTE;
48526;26/07/2024;2376;--> TACOS;
48526;26/07/2024;4360;--> ALGERIENNE;
48526;26/07/2024;1174;TACOS MIXTE;
48526;26/07/2024;2376;--> TACOS;
48526;26/07/2024;10000;--> BIGGY;
48527;26/07/2024;70239;TAGINE FOIE;
48527;26/07/2024;8424;1/4 POULET;
48528;26/07/2024;70223;SANDWICH SAUCISSE;
48528;26/07/2024;70223;SANDWICH SAUCISSE;
48528;26/07/2024;CODE_COMM;--> ss garniture;
48528;26/07/2024;70240;FRITE;
48529;26/07/2024;5617;TACOS POULET;
48529;26/07/2024;2376;--> TACOS;
48529;26/07/2024;4360;--> ALGERIENNE;
48530;26/07/2024;4762;SANDWICH MIX;
48530;26/07/2024;CODE_COMM;--> glo;
48531;26/07/2024;4;VIANDE HACHEE;
48532;26/07/2024;175;COUT GRILLADE;
48532;26/07/2024;605;PILON PLT MARINEE;
48532;26/07/2024;615;SAUCIISE DE PLT;
48532;26/07/2024;610;CHICHE KEBAB PLT;
48532;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48532;26/07/2024;70240;FRITE;
48533;26/07/2024;4;VIANDE HACHEE;
48534;26/07/2024;625;POULET ENTIER;
48534;26/07/2024;601;FILET DE POULET NATURE;
48535;26/07/2024;70223;SANDWICH SAUCISSE;
48536;26/07/2024;501;EDAM;
48537;26/07/2024;175;COUT GRILLADE;
48537;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48537;26/07/2024;12;BROCHETTE DE BF;
48537;26/07/2024;CODE_COMM;--> GR N° 10;
48537;26/07/2024;7631;SODA 1L/EAU GAZEUSE 1L;
48538;26/07/2024;70227;SANDWICH VIANDE HACHEE;
48538;26/07/2024;CODE_COMM;--> omar;
48539;26/07/2024;6852;SANDWICH TIHANE;
48539;26/07/2024;70225;SANDWICH FOIE;
48539;26/07/2024;70221;SANDWICH POULET;
48540;26/07/2024;2;VIANDE HACHEE NATURE;
48540;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48540;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48541;26/07/2024;3;SAUCISSE BF;
48541;26/07/2024;175;COUT GRILLADE;
48541;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48542;26/07/2024;4;VIANDE HACHEE;
48543;26/07/2024;175;COUT GRILLADE;
48543;26/07/2024;14;FAUX FILET;
48543;26/07/2024;3;SAUCISSE BF;
48543;26/07/2024;4;VIANDE HACHEE;
48543;26/07/2024;CODE_COMM;--> GR N° 4;
48543;26/07/2024;8857;THE;
48544;26/07/2024;501;EDAM;
48545;26/07/2024;603;AILES DE PLTS MARINEE;
48546;26/07/2024;9053;TACOS VIANDE HACHEE;
48546;26/07/2024;2376;--> TACOS;
48546;26/07/2024;4360;--> ALGERIENNE;
48547;26/07/2024;1174;TACOS MIXTE;
48547;26/07/2024;2376;--> TACOS;
48547;26/07/2024;4360;--> ALGERIENNE;
48547;26/07/2024;10000;--> BIGGY;
48547;26/07/2024;1174;TACOS MIXTE;
48547;26/07/2024;2376;--> TACOS;
48547;26/07/2024;10000;--> BIGGY;
48547;26/07/2024;7631;SODA 1L/EAU GAZEUSE 1L;
48548;26/07/2024;4754;SANDWICH MIX;
48549;26/07/2024;70227;SANDWICH VIANDE HACHEE;
48549;26/07/2024;70240;FRITE;
48549;26/07/2024;70227;SANDWICH VIANDE HACHEE;
48549;26/07/2024;8857;THE;
48550;26/07/2024;5617;TACOS POULET;
48550;26/07/2024;2376;--> TACOS;
48550;26/07/2024;10000;--> BIGGY;
48551;26/07/2024;55;STEAK HACHEE NATURE;
48552;26/07/2024;5617;TACOS POULET;
48552;26/07/2024;2376;--> TACOS;
48552;26/07/2024;10000;--> BIGGY;
48552;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48553;26/07/2024;9053;TACOS VIANDE HACHEE;
48553;26/07/2024;2376;--> TACOS;
48553;26/07/2024;10000;--> BIGGY;
48553;26/07/2024;70240;FRITE;
48553;26/07/2024;CODE_COMM;--> sauce moutard a part;
48554;26/07/2024;612;SHAWARMA;
48555;26/07/2024;1174;TACOS MIXTE;
48555;26/07/2024;2376;--> TACOS;
48555;26/07/2024;4360;--> ALGERIENNE;
48556;26/07/2024;175;COUT GRILLADE;
48556;26/07/2024;4;VIANDE HACHEE;
48557;26/07/2024;9053;TACOS VIANDE HACHEE;
48557;26/07/2024;2376;--> TACOS;
48557;26/07/2024;CODE_COMM;--> samouray;
48558;26/07/2024;9053;TACOS VIANDE HACHEE;
48558;26/07/2024;2376;--> TACOS;
48558;26/07/2024;4360;--> ALGERIENNE;
48559;26/07/2024;614;CORDON BLEU;
48559;26/07/2024;3;SAUCISSE BF;
48559;26/07/2024;4;VIANDE HACHEE;
48559;26/07/2024;506;CUISSE POIVRE;
48560;26/07/2024;70227;SANDWICH VIANDE HACHEE;
48560;26/07/2024;70240;FRITE;
48561;26/07/2024;175;COUT GRILLADE;
48561;26/07/2024;100;CERVELLE AGN;
48561;26/07/2024;602;SAUCISSE DE FOIE PLT;
