Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48666;26/07/2024;601;FILET DE POULET NATURE;
48666;26/07/2024;3;SAUCISSE BF;
48667;26/07/2024;9053;TACOS VIANDE HACHEE;
48667;26/07/2024;2376;--> TACOS;
48667;26/07/2024;10000;--> BIGGY;
48667;26/07/2024;70240;FRITE;
48668;26/07/2024;70221;SANDWICH POULET;
48668;26/07/2024;70240;FRITE;
48669;26/07/2024;612;SHAWARMA;
48670;26/07/2024;70223;SANDWICH SAUCISSE;
48670;26/07/2024;CODE_COMM;--> ss sauce;
48670;26/07/2024;4754;SANDWICH MIX;
48670;26/07/2024;CODE_COMM;--> ss sauce ;
48670;26/07/2024;CODE_COMM;--> les trois ss tomate;
48671;26/07/2024;5617;TACOS POULET;
48671;26/07/2024;2376;--> TACOS;
48671;26/07/2024;4360;--> ALGERIENNE;
48671;26/07/2024;10000;--> BIGGY;
48671;26/07/2024;CODE_COMM;--> ;
48672;26/07/2024;4;VIANDE HACHEE;
48672;26/07/2024;605;PILON PLT MARINEE;
48673;26/07/2024;3589;TACOS SAUCISSE;
48673;26/07/2024;2376;--> TACOS;
48673;26/07/2024;CODE_COMM;--> ss sauce;
48674;26/07/2024;9053;TACOS VIANDE HACHEE;
48674;26/07/2024;2376;--> TACOS;
48674;26/07/2024;5485;--> SHEEZY;
48675;26/07/2024;1174;TACOS MIXTE;
48675;26/07/2024;2376;--> TACOS;
48675;26/07/2024;4360;--> ALGERIENNE;
48675;26/07/2024;1174;TACOS MIXTE;
48675;26/07/2024;2376;--> TACOS;
48675;26/07/2024;10000;--> BIGGY;
48675;26/07/2024;70240;FRITE;
48676;26/07/2024;605;PILON PLT MARINEE;
48677;26/07/2024;175;COUT GRILLADE;
48677;26/07/2024;605;PILON PLT MARINEE;
48678;26/07/2024;70238;TAGINE CERVEILLE;
48678;26/07/2024;9053;TACOS VIANDE HACHEE;
48678;26/07/2024;2376;--> TACOS;
48678;26/07/2024;4360;--> ALGERIENNE;
48678;26/07/2024;9053;TACOS VIANDE HACHEE;
48678;26/07/2024;2376;--> TACOS;
48678;26/07/2024;4360;--> ALGERIENNE;
48679;26/07/2024;175;COUT GRILLADE;
48679;26/07/2024;4;VIANDE HACHEE;
48679;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48680;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48680;26/07/2024;4;VIANDE HACHEE;
48681;26/07/2024;1174;TACOS MIXTE;
48681;26/07/2024;2376;--> TACOS;
48681;26/07/2024;4360;--> ALGERIENNE;
48681;26/07/2024;10000;--> BIGGY;
48681;26/07/2024;70240;FRITE;
48682;26/07/2024;5617;TACOS POULET;
48682;26/07/2024;2376;--> TACOS;
48682;26/07/2024;4360;--> ALGERIENNE;
48682;26/07/2024;10000;--> BIGGY;
48682;26/07/2024;CODE_COMM;--> saucisse plt;
48682;26/07/2024;505;JAMBON FUME;
48682;26/07/2024;70240;FRITE;
48683;26/07/2024;5617;TACOS POULET;
48683;26/07/2024;2376;--> TACOS;
48683;26/07/2024;10000;--> BIGGY;
48683;26/07/2024;6152;--> TARTAR;
48683;26/07/2024;CODE_COMM;--> klilaaa;
48683;26/07/2024;CODE_COMM;--> ss frite;
48684;26/07/2024;9053;TACOS VIANDE HACHEE;
48684;26/07/2024;2376;--> TACOS;
48684;26/07/2024;4360;--> ALGERIENNE;
48685;26/07/2024;3;SAUCISSE BF;
48685;26/07/2024;4;VIANDE HACHEE;
48685;26/07/2024;605;PILON PLT MARINEE;
48685;26/07/2024;175;COUT GRILLADE;
48686;26/07/2024;5617;TACOS POULET;
48686;26/07/2024;2376;--> TACOS;
48686;26/07/2024;4360;--> ALGERIENNE;
48686;26/07/2024;10000;--> BIGGY;
48687;26/07/2024;611;NUGGETS;
48687;26/07/2024;614;CORDON BLEU;
48688;26/07/2024;4;VIANDE HACHEE;
48688;26/07/2024;175;COUT GRILLADE;
48689;26/07/2024;3;SAUCISSE BF;
48690;26/07/2024;9053;TACOS VIANDE HACHEE;
48690;26/07/2024;2376;--> TACOS;
48690;26/07/2024;5485;--> SHEEZY;
48690;26/07/2024;6152;--> TARTAR;
48691;26/07/2024;5617;TACOS POULET;
48691;26/07/2024;2376;--> TACOS;
48691;26/07/2024;10000;--> BIGGY;
48692;26/07/2024;9053;TACOS VIANDE HACHEE;
48692;26/07/2024;2376;--> TACOS;
48692;26/07/2024;7385;--> ANDALOUS;
48692;26/07/2024;10000;--> BIGGY;
48693;26/07/2024;5617;TACOS POULET;
48693;26/07/2024;2376;--> TACOS;
48693;26/07/2024;CODE_COMM;--> ss sauce;
48693;26/07/2024;5617;TACOS POULET;
48693;26/07/2024;2376;--> TACOS;
48693;26/07/2024;4360;--> ALGERIENNE;
48694;26/07/2024;175;COUT GRILLADE;
48694;26/07/2024;3;SAUCISSE BF;
48694;26/07/2024;4;VIANDE HACHEE;
48695;26/07/2024;4;VIANDE HACHEE;
48696;26/07/2024;501;EDAM;
48696;26/07/2024;600;FILET DE DINDE NATURE;
48697;26/07/2024;4;VIANDE HACHEE;
48697;26/07/2024;175;COUT GRILLADE;
48697;26/07/2024;CODE_COMM;--> GR N° 5;
48697;26/07/2024;3;SAUCISSE BF;
48697;26/07/2024;4;VIANDE HACHEE;
48697;26/07/2024;19;COTLETTE AGN;
48697;26/07/2024;3;SAUCISSE BF;
48697;26/07/2024;175;COUT GRILLADE;
48697;26/07/2024;6014;TOMATE OIGNON GRILLEE;
48697;26/07/2024;6014;TOMATE OIGNON GRILLEE;
48697;26/07/2024;7798;THE MOYEN;
48697;26/07/2024;CODE_COMM;--> SOKARE BRA;
